Subject,Session,Run,State,Fractional occupancy (%),Dwell time (s)
0,PLCB,1,1,18.89400921658986,7.454545454545454
0,PLCB,1,2,33.6405529953917,7.684210526315789
0,PLCB,1,3,20.276497695852534,6.285714285714286
0,PLCB,1,4,27.188940092165897,7.375
1,PLCB,1,1,22.58064516129032,7.0
1,PLCB,1,2,28.110599078341014,5.809523809523809
1,PLCB,1,3,21.658986175115206,7.833333333333333
1,PLCB,1,4,27.64976958525346,6.315789473684211
2,PLCB,1,1,23.963133640552993,8.666666666666666
2,PLCB,1,2,25.806451612903224,7.0
2,PLCB,1,3,21.658986175115206,7.230769230769231
2,PLCB,1,4,28.57142857142857,6.526315789473684
3,PLCB,1,1,21.19815668202765,6.133333333333334
3,PLCB,1,2,29.03225806451613,6.0
3,PLCB,1,3,20.276497695852534,6.285714285714286
3,PLCB,1,4,29.493087557603687,7.111111111111111
4,PLCB,1,1,27.64976958525346,8.0
4,PLCB,1,2,24.88479262672811,7.714285714285714
4,PLCB,1,3,23.502304147465438,7.285714285714286
4,PLCB,1,4,23.963133640552993,4.9523809523809526
5,PLCB,1,1,18.433179723502306,6.153846153846154
5,PLCB,1,2,29.03225806451613,8.4
5,PLCB,1,3,18.433179723502306,6.153846153846154
5,PLCB,1,4,34.10138248847927,6.7272727272727275
6,PLCB,1,1,26.72811059907834,8.923076923076923
6,PLCB,1,2,26.26728110599078,6.0
6,PLCB,1,3,20.276497695852534,8.0
6,PLCB,1,4,26.72811059907834,9.666666666666666
7,PLCB,1,1,21.658986175115206,6.714285714285714
7,PLCB,1,2,30.414746543778804,8.25
7,PLCB,1,3,18.89400921658986,6.833333333333333
7,PLCB,1,4,29.03225806451613,7.875
8,PLCB,1,1,29.03225806451613,6.3
8,PLCB,1,2,21.658986175115206,4.476190476190476
8,PLCB,1,3,26.26728110599078,8.76923076923077
8,PLCB,1,4,23.04147465437788,5.0
9,PLCB,1,1,21.19815668202765,6.133333333333334
9,PLCB,1,2,32.71889400921659,8.352941176470589
9,PLCB,1,3,18.89400921658986,9.11111111111111
9,PLCB,1,4,27.188940092165897,6.9411764705882355
10,PLCB,1,1,23.502304147465438,7.285714285714286
10,PLCB,1,2,28.110599078341014,5.809523809523809
10,PLCB,1,3,19.81566820276498,5.375
10,PLCB,1,4,28.57142857142857,5.636363636363637
11,PLCB,1,1,28.110599078341014,8.133333333333333
11,PLCB,1,2,21.658986175115206,5.222222222222222
11,PLCB,1,3,27.188940092165897,7.375
11,PLCB,1,4,23.04147465437788,4.545454545454546
12,PLCB,1,1,18.89400921658986,6.833333333333333
12,PLCB,1,2,29.493087557603687,9.142857142857142
12,PLCB,1,3,23.04147465437788,7.142857142857143
12,PLCB,1,4,28.57142857142857,6.2
13,PLCB,1,1,13.36405529953917,5.2727272727272725
13,PLCB,1,2,31.797235023041477,7.666666666666667
13,PLCB,1,3,15.207373271889402,5.5
13,PLCB,1,4,39.63133640552996,8.19047619047619
14,PLCB,1,1,18.89400921658986,6.833333333333333
14,PLCB,1,2,34.10138248847927,7.4
14,PLCB,1,3,17.050691244239633,5.285714285714286
14,PLCB,1,4,29.953917050691242,5.416666666666667
0,LSD,1,1,21.658986175115206,7.230769230769231
0,LSD,1,2,34.10138248847927,7.4
0,LSD,1,3,18.433179723502306,10.0
0,LSD,1,4,25.806451612903224,7.0
1,LSD,1,1,14.285714285714285,5.636363636363637
1,LSD,1,2,33.6405529953917,8.588235294117647
1,LSD,1,3,16.129032258064516,5.384615384615385
1,LSD,1,4,35.944700460829495,8.210526315789474
2,LSD,1,1,29.493087557603687,9.846153846153847
2,LSD,1,2,22.119815668202765,8.0
2,LSD,1,3,26.26728110599078,8.142857142857142
2,LSD,1,4,22.119815668202765,5.052631578947368
3,LSD,1,1,23.963133640552993,6.933333333333334
3,LSD,1,2,23.963133640552993,4.9523809523809526
3,LSD,1,3,19.35483870967742,7.0
3,LSD,1,4,32.71889400921659,5.916666666666667
4,LSD,1,1,20.276497695852534,5.176470588235294
4,LSD,1,2,29.953917050691242,7.222222222222222
4,LSD,1,3,22.58064516129032,7.0
4,LSD,1,4,27.188940092165897,6.555555555555555
5,LSD,1,1,21.658986175115206,7.833333333333333
5,LSD,1,2,30.87557603686636,7.052631578947368
5,LSD,1,3,20.276497695852534,8.0
5,LSD,1,4,27.188940092165897,6.9411764705882355
6,LSD,1,1,22.119815668202765,6.0
6,LSD,1,2,31.336405529953915,6.181818181818182
6,LSD,1,3,22.119815668202765,6.857142857142857
6,LSD,1,4,24.42396313364055,6.625
7,LSD,1,1,19.35483870967742,6.461538461538462
7,LSD,1,2,31.797235023041477,5.75
7,LSD,1,3,15.207373271889402,5.076923076923077
7,LSD,1,4,33.6405529953917,9.125
8,LSD,1,1,23.502304147465438,7.285714285714286
